epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.4948,1.24422,2.82289,1.42812,0.78777,0.40858,0.52776,0.30736,1.3061,2.29049,1.56175,0.000300365,0.000300365,0.000300365
2,97.0894,1.21077,1.91627,1.38999,0.66755,0.50951,0.53762,0.33419,1.37413,2.09574,1.64452,0.000583454,0.000583454,0.000583454
3,144.215,1.24199,1.75078,1.41176,0.46438,0.52413,0.52817,0.28949,1.55523,2.10187,1.79916,0.000846545,0.000846545,0.000846545
4,191.096,1.26407,1.6736,1.42507,0.61217,0.61176,0.63499,0.382,1.4642,1.78651,1.69946,0.000819009,0.000819009,0.000819009
5,238.072,1.20703,1.51642,1.38848,0.67466,0.59415,0.66574,0.43121,1.32589,1.62785,1.56218,0.000789012,0.000789012,0.000789012
6,285.269,1.16715,1.36593,1.34361,0.64982,0.62594,0.62959,0.41095,1.38879,1.71736,1.62722,0.000759015,0.000759015,0.000759015
7,332.186,1.12725,1.25789,1.3214,0.69902,0.59445,0.64651,0.41476,1.42715,1.7479,1.68382,0.000729018,0.000729018,0.000729018
8,379.886,1.08335,1.17022,1.28263,0.62898,0.70798,0.68553,0.438,1.34379,1.63087,1.60175,0.000699021,0.000699021,0.000699021
9,427.884,1.06388,1.1312,1.27965,0.75006,0.65975,0.72265,0.47105,1.27593,1.5667,1.51704,0.000669024,0.000669024,0.000669024
10,475.779,1.02444,1.03098,1.24507,0.74365,0.69319,0.71051,0.46933,1.22839,1.43807,1.49654,0.000639027,0.000639027,0.000639027
11,523.56,1.01171,0.99524,1.2431,0.82856,0.64724,0.72981,0.5007,1.25983,1.44049,1.54757,0.00060903,0.00060903,0.00060903
12,571.662,0.9882,0.94549,1.22133,0.78683,0.72508,0.73645,0.48772,1.2199,1.28598,1.51178,0.000579033,0.000579033,0.000579033
13,620.341,0.9672,0.92183,1.208,0.78912,0.67542,0.71403,0.49299,1.23554,1.43722,1.52663,0.000549036,0.000549036,0.000549036
14,670.967,0.9606,0.86971,1.19031,0.78212,0.68286,0.72772,0.50676,1.22771,1.17782,1.463,0.000519039,0.000519039,0.000519039
15,716.56,0.93101,0.84737,1.17788,0.792,0.71626,0.73523,0.49541,1.3017,1.25526,1.59917,0.000489042,0.000489042,0.000489042
16,764.302,0.91732,0.80011,1.16594,0.80908,0.75129,0.78977,0.54332,1.16148,1.01996,1.41543,0.000459045,0.000459045,0.000459045
17,810.278,0.88974,0.77049,1.15107,0.75885,0.76979,0.76949,0.5286,1.19683,1.1457,1.47898,0.000429048,0.000429048,0.000429048
18,856.479,0.87722,0.7503,1.14909,0.79971,0.71111,0.78307,0.54551,1.21272,1.16908,1.466,0.000399051,0.000399051,0.000399051
19,902.144,0.85028,0.73738,1.12603,0.78427,0.73745,0.78018,0.5568,1.13307,1.11214,1.44137,0.000369054,0.000369054,0.000369054
20,948.333,0.83959,0.69699,1.11458,0.82233,0.75748,0.7904,0.54435,1.19727,1.11936,1.45619,0.000339057,0.000339057,0.000339057
21,1037.26,0.75111,0.57177,1.07045,0.73078,0.79277,0.7892,0.54677,1.11591,1.01308,1.43132,0.00030906,0.00030906,0.00030906
22,1083.55,0.71462,0.53171,1.04166,0.83426,0.76806,0.82436,0.5772,1.13388,1.04885,1.43115,0.000279063,0.000279063,0.000279063
23,1129.76,0.69101,0.4971,1.02581,0.77597,0.76514,0.79705,0.55638,1.13387,1.12516,1.43255,0.000249066,0.000249066,0.000249066
24,1175.68,0.66866,0.47512,1.00344,0.78288,0.80353,0.7981,0.56909,1.13533,1.01908,1.45829,0.000219069,0.000219069,0.000219069
25,1222.15,0.63551,0.44781,0.9869,0.91702,0.71483,0.82609,0.59101,1.09229,0.98565,1.37998,0.000189072,0.000189072,0.000189072
26,1268.82,0.62776,0.43441,0.97917,0.8401,0.75372,0.80792,0.59069,1.09174,1.03196,1.38032,0.000159075,0.000159075,0.000159075
27,1314.33,0.61352,0.42863,0.97753,0.87401,0.75603,0.80451,0.58569,1.09621,1.0685,1.38752,0.000129078,0.000129078,0.000129078
28,1359.66,0.58705,0.40317,0.96222,0.83767,0.75475,0.79886,0.58504,1.08571,1.03438,1.36374,9.9081e-05,9.9081e-05,9.9081e-05
29,1405.03,0.56809,0.39499,0.9482,0.86179,0.74607,0.80904,0.58594,1.05872,0.98285,1.36251,6.9084e-05,6.9084e-05,6.9084e-05
30,1450.41,0.55036,0.38247,0.93876,0.84033,0.75272,0.79422,0.58913,1.04737,0.98779,1.35934,3.9087e-05,3.9087e-05,3.9087e-05
